%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1644357110944956733,63,1644357110944170713,,42.340221666666665,-71.09752833333333,5.5,327212.4419548105,4689682.497807442,19,T
1644357111944494767,64,1644357111943706512,,42.340223333333334,-71.09752666666667,5.5,327212.58382054465,4689682.679491294,19,T
1644357112942872353,65,1644357112942048788,,42.340225,-71.09752333333333,5.4,327212.862986624,4689682.857788196,19,T
1644357113963412514,66,1644357113962584495,,42.340226666666666,-71.09752,5.3,327213.1421526911,4689683.036085108,19,T
1644357114946443914,67,1644357114945595026,,42.34023,-71.09751666666666,5.4,327213.42588409275,4689683.399452843,19,T
1644357115961064073,68,1644357115960255384,,42.34023333333333,-71.09751333333334,5.4,327213.7096154638,4689683.762820588,19,T
1644357116961662211,69,1644357116960872650,,42.340235,-71.09751,5.4,327213.9887814754,4689683.941117535,19,T
1644357117961797601,70,1644357117961015462,,42.34023666666667,-71.09750666666666,5.3,327214.26794747054,4689684.11941449,19,T
1644357118944806044,71,1644357118943995952,,42.34023833333333,-71.09750333333334,5.2,327214.54711344914,4689684.297711456,19,T
1644357119962754107,72,1644357119961968660,,42.34024,-71.0975,5.1,327214.8262794154,4689684.476008434,19,T
1644357120945758271,73,1644357120944930076,,42.340241666666664,-71.09749833333333,5.0,327214.9681450492,4689684.657692332,19,T
1644357121944801773,74,1644357121944022417,,42.34024333333333,-71.097495,5.0,327215.24731098814,4689684.835989324,19,T
1644357122940127889,75,1644357122939403295,,42.340246666666665,-71.09749333333333,4.9,327215.3937419037,4689685.202744043,19,T
1644357123962784701,76,1644357123961995601,,42.340248333333335,-71.09749166666667,4.9,327215.53560750687,4689685.3844279535,19,T
1644357124958875940,77,1644357124958014249,,42.34025166666667,-71.09748833333333,5.1,327215.819338694,4689685.74779578,19,T
1644357125943168250,78,1644357125942342042,,42.34025333333334,-71.097485,5.3,327216.09850456833,4689685.926092805,19,T
1644357126961920834,79,1644357126961108684,,42.34025666666667,-71.09748166666667,5.1,327216.3822357075,4689686.289460654,19,T
1644357127944087803,80,1644357127943299293,,42.34025833333333,-71.09747833333333,5.1,327216.66140154575,4689686.467757702,19,T
1644357128941927169,81,1644357128941136121,,42.34026,-71.097475,5.5,327216.9405673718,4689686.646054759,19,T
1644357129960033409,82,1644357129959196090,,42.34026166666666,-71.09747166666666,5.4,327217.2197331833,4689686.824351827,19,T
